cod_departamento;cod_municipio;cod_postal;limite
13;140;131548;M. Arroyohondo Y Via Sato-Suan-M. El Guamo Y San Juan Nepom.-Municipio Pedraza-Municipio Mahates
13;062;131567;Mpio. Calamar Y Mahates-Mpio. Calamar Y Mahates-Municipio Calamar-Municipio Mahates
13;248;132001;Cl 36-Cl 3A-Kr 7-Kr 21
13;248;132007;Mpio. Pedraza Y Calamar-M. San Juan Nepomuceno-Mpio. Zapayan Y Tenerife-M. San Juan Nepomuceno
13;657;132017;Via San Cayetano-El Guamo-Municipio San Jacinto-Via San Jacinto-Calamar-M. Mahates Y Ma. La Baja
13;657;132018;M. Mahat.- Calam. Y El Guamo-M. San Jacinto Y Zambrano-Municipio Tenerife-Via San Jacinto-Calamar
13;654;132037;M. San Juan Nepomuceno-M. El Carmen De Bolivar-Municipio Zambrano-M. El Car. De Bol. Y Maria La B.
13;894;132047;M. San Juan Nepomuceno-Municipio Cordoba-Mpio. Plato Y Tenerife-M. San Jacinto Y El Carmen De B.
13;244;132057;Municipio San Jacinto-Via Zambrano-El Car. De Bolivar-Municipio Zambrano-Via San Jacinto-El C. De Bolivar
13;244;132058;Via Zambrano-El Car. De Bolivar-Municipio Ovejas-Municipio Cordoba-Via Ovejas-El Car. De Bolivar
13;244;132059;Municipio San Jacinto-Mpio. Ovejas Y Chalan-Via Ovejas-El Car. De Bolivar-Municipio San Onofre
13;212;132501;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;212;132507;Municipio Zambrano-Municipio San Pedro-Via Zambrano-San Pedro-M. Ovejas Y El Carmen De Bol.
13;212;132508;Municipio Zambrano-M. Buenavista Y Magangue-M. Plato Y Sta. Barb. De Pinto-Via Zambrano-San Pedro
13;430;132511;Limite Urbano-Cl  16 Y 17-Rio Magdalena-B. La Balastrera Y Lim Urb
13;430;132512;Cl  16 Y 17-Limite Urbano Y  Cienaga-Rio Magdalena-Limite Urbano
13;430;132517;M. Santa Barbara De Pinto-Limite Urbano-M. Talaigua N. Y Cicuco-Via Magangue-Tacamocha
13;430;132518;Municipio Cordoba-Via Magangue-San Pedro-Via Magangue-Tacamocha-Municipio Buenavista
13;430;132519;Via Magangue-San Pedro-Municipio Sucre-Mpio. Mompos Y Cicuco-M. Buenav.- Galeras Y S. Benito A.
13;430;132527;Municipio Mompos-Municipio Ach√Ç-Municipio Pinillos-Municipio Sucre
13;780;132547;M. Sta. Barbara De Pinto-Via Cicuco - Talaigua Nuevo-Municipio Santa Ana-Mpio. Magangue Y Cicuco
13;780;132548;Via Cicuco - Talaigua Nuevo-Municipio Mompos-Municipio Santa Ana-Municipio Cicuco
13;188;132557;Mpio. Talaigua Nuevo-Municipio Mompos-Mpio. Talaigua Nuevo-Municipio Magangue
13;468;132567;Municipio San Zen√Ìn-Municipio San Fernando-M. San Fdo. Y San S. De Buenavis.-R√Ço Perman.- Cien. Anc√Ìn Y Sardi.
13;468;132568;M. Cicuco Y Talaigua Nuevo-Municipio Pinillos-R√Ço Perman.- Cien. Anc√Ìn Y Sard.-Municipio Magangue
13;650;133001;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;650;133007;M. San Sebastian De Buenavista-Municipio Margarita-Municipio Guamal-Via Guataca-Santa Rosa
13;650;133008;Municipio Mompos-M. Hatillo De Loba-Municipio Margarita-M. Mompos Y Pinillos
13;440;133027;Municipio Guamal-R√Ço Permanente-M. Guamal Y El Banco-Mpio. San Fernando
13;440;133028;R√Ço Permanente-M. Pinillos Y Hatillo De Loba-M. El Banco Y Hatillo De Loba-Mpio. San Fernando
13;300;133047;Municipio El Banco-M. San Martin De Loba-Municipio El Banco-Via Los Negritos-Hatillo De Loba
13;300;133048;Municipio Margarita-M. Barranco De Loba-Via Los Negritos-Hatillo De Loba-Municipio Margarita
13;300;133049;Mpio. San Fernando-Municipio Pilnillos-Municipio Margarita-Municipio Pinillos
13;030;133501;Limite Urbano-Limite Urbano-Kr 1-Limite Urbano
13;030;133507;M. Barranco De Loba-M. Barranco De Loba-M. Barranco De Loba-Via Altos Del Rosario-El Sidai
13;030;133508;M. Barranco De Loba-Municipio Tiquisio-Via Altos Del Rosario-El Sidai-Municipio Pinillos
13;074;133517;Mpio. Hatillo De Loba-Mpio. Altos Del Rosario-Mpio. San Martin De Loba-Municipio Pinillos
13;074;133518;Via Afirmada-Altos Del Rosario-Municipio Tiquisio-Mpio. San Martin De Loba-Mpio. Altos Del Rosario
13;667;133537;M. Hatillo De Loba-Quebrada Mejia-Municipio El Pe√Ëon-Mpio. Barranco De Loba
13;667;133538;Quebrada Mejia-Municipio R√Ço Viejo-M. El Pe√Ëon Y Regidor-Mpio. Barranco De Loba
13;268;133557;Municipio El Banco-Municipio Regidor-Municipio Tamalameque-R√Ço Permanente
13;268;133558;R√Ço Permanente-M. San Martin De Loba-Municipio Regidor-M. San Martin De Loba
13;580;133567;M. Tamalame. Y El Pe√Ë√Ìn-Municipio R√Ço Viejo-M. Tamalam. Y La Gloria-M. El Pe√Ë√Ìn Y San Martin De Loba
13;549;134001;Cl 18-Cl 5-Limite Urbano-Limite Urbano
13;549;134007;"M. Monp.- San Fdo. Y Hatillo De L.-R√Ço """"Brazo"""" De Loba-Mpio. Barranco De Loba-Municipio Magangue"
13;549;134008;"R√Ço """"Brazo"""" De Loba-Municipio Tiquisio-M. Alt. Del Rosa. Y Bco. De Loba-Mpio. Ach√Ç Y Magangue"
13;006;134027;Municipio Magangue-Municipio Guarand√Å-R√Ço Cauca-Mpio. Sucre Y Majagual
13;006;134028;Municipio Pinillos-Municipio Montecristo-Mpio. Pinillos Y Tiquisio-R√Ço Cauca
13;810;134047;M. Pini.- Altos Del R. Y Barran. De L.-R√Ço Permanen. - Lomas Cerro Largo-Municipio R√Ço Viejo-Municipio Ach√Ç
13;810;134048;R√Ço Permanen. - Lomas Cerro Largo-Municipio Montecristo-Municipio R√Ço Viejo-Mpio. Ach√Ç Y Montecristo
13;655;134067;Municipio Guarand√Å-R√Ço Cauca-Municipio Montecristo-Ca√Ëo Mu√Ëoz
13;655;134068;R√Ço Cauca-Municipio Nech√Ç-Municipio Montecristo-M. Nech√Ç Y Ayapel
13;458;134077;M. Ach√Ç Y Tiquisio-Municipio Segovia-M.Sta R. Del Sur-Mor.-Are.-R√Ço V.-M. El Bagre- Nech√Ç Y San J. Del Cau.
13;600;134501;Cl 10-Cl 1-Limite Urbano-Limite Urbano
13;600;134507;M. Regidor Y San Mart√Çn De Loba-M. Arenal- Morales Y Via Are.-Pto Ric.-Municipio La Gloria-Municpio Tiquisio
13;490;134517;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;042;134527;Municipio R√Ço Viejo-Municipio Morales-Municipio Morales-Municipio Montecristo
13;473;134547;Municipio R√Ço Viejo-Municipio Puerto Wilches Y Simit√Ç-Municipio Gamarra-R√Ço Simit√Ç Y De Morales
13;473;134548;Municipio Arenal-M. Simit√Ç Y Sta. Rosa Del Sur-R√Ço Simit√Ç Y De Morales-Municipio Montecristo
13;688;135001;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;688;135007;Municipio Morales-Quebrada Inanea Y R√Ço Pemanente-Municipio Simit√Ç-Municipio Montecristo
13;688;135008;Quebrada Inanea Y R√Ço Permanente-Municipio Segovia-M. Simit√Ç Y San Pablo-Municipio Montecristo
13;744;135027;Municipio Morales-Ca√Ëo Barb√Ö Y Q/Da. Inanea-Mpio. Puerto Wilches-Mpio. Santa Rosa Del Sur
13;744;135028;M. Santa Rosa Del Sur-Municipio San Pablo-Ca√Ëo Barb√Ö Y Q/Da. Inanea-M. Santa Rosa Del Sur
